Species	PUL ID	Name	Modularity	Overlap IDs	Overlap Names	Length	Postion_GH154	Count_GH154	Postion_unk	Count_unk	Postion_GH	Count_GH
Bacteroides thetaiotaomicron BFG-264	#69733	Predicted PUL 36	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146			13	7	1	5, 6, 8	3	1, 2, 7, 10, 11, 12	6
Bacteroides thetaiotaomicron BFG-266 	#62857	Predicted PUL 20	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides thetaiotaomicron BFG-266 	#62875	Predicted PUL 38	GH35|CBM32 GH43_19 GH43_9|CBM91 GH51_2 GH31_4 HTCS GH97 GH43_34 GH43_34|CBM32 GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3 GH43_24 PL42 GH105			25	15	1	11, 14, 17, 20	4	0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 15, 21, 22, 24	16
Bacteroides thetaiotaomicron BFG-357 	#62634	Predicted PUL 10	unk unk unk GH106 GH43_26|GH106 GH43_26 GH88 Sulf_1 unk GH154 unk unk unk SusD SusD unk SusC unk SusC GH105 GH105 GH2			22	9	1	0, 1, 2, 8, 10, 11, 12, 15, 17	9	3, 4, 5, 6, 9, 19, 20, 21	8
Bacteroides thetaiotaomicron BFG-357 	#62637	Predicted PUL 13	GH154 unk SusC SusC SusC unk SusD unk GH30_6 GH30_6 unk unk			12	0	1	1, 5, 7, 10, 11	5	0, 8, 9	3
Bacteroides thetaiotaomicron BFG-446	#64091	Predicted PUL 14	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk unk SusD SusC GH105 GH105 unk HTCS			15	5	1	4, 6, 7, 8, 13	5	0, 1, 2, 5, 11, 12	6
Bacteroides thetaiotaomicron BFG-446	#64095	Predicted PUL 18	GH154 unk SusC SusD GH30_6 GH30_6 unk GH130_1			8	0	1	1, 6	2	0, 4, 5, 7	4
Bacteroides thetaiotaomicron BFG-446	#64113	Predicted PUL 36	GH35|CBM32 GH43_19 GH43_9 GH51_2 GH31_4 HTCS GH97 GH43_34 unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			33	22	1	8, 12, 13, 14, 17, 18, 21, 24, 25, 28	10	0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 19, 20, 22, 29, 30, 32	16
Bacteroides thetaiotaomicron BFG-478	#69802	Predicted PUL 13	CBM SusD SusC GH43_31 unk HTCS GH43_31 GH182 GH43_3 GH159 unk unk SusD SusC unk unk unk GH116 unk unk unk GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS			34	26	1	4, 10, 11, 14, 15, 16, 18, 19, 20, 25, 27, 28	12	3, 6, 7, 8, 9, 17, 21, 22, 23, 26, 31, 32	12
Bacteroides thetaiotaomicron BFG-478	#69806	Predicted PUL 17	GH154 unk SusC SusD GH30_6 GH30_6 unk GH130_1			8	0	1	1, 6	2	0, 4, 5, 7	4
Bacteroides thetaiotaomicron BFG-478	#69822	Predicted PUL 33	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk unk GH31_4 HTCS GH97 GH43_34|CBM32 GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD SusD unk unk unk GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			34	24	1	4, 5, 13, 14, 15, 19, 20, 21, 23, 26, 29	11	0, 1, 2, 3, 6, 8, 9, 10, 11, 12, 22, 24, 30, 31, 33	15
Bacteroides thetaiotaomicron BFG-484	#65372	Predicted PUL 16	GH154 unk SusC SusD GH30_6 unk unk GH130_1			8	0	1	1, 5, 6	3	0, 4, 7	3
Bacteroides thetaiotaomicron BFG-484	#65392	Predicted PUL 36	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 unk GH97 GH43_34 GH43_34|CBM32 unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			33	23	1	5, 9, 13, 14, 15, 18, 19, 22, 24, 25, 28	11	0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 20, 21, 23, 29, 30, 32	17
Bacteroides thetaiotaomicron BFG-498	#66589	Predicted PUL 14	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH105 GH2 HTCS			14	5	1	4, 6, 7	3	0, 1, 2, 5, 10, 11, 12	7
Bacteroides thetaiotaomicron BFG-498	#66592	Predicted PUL 17	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides thetaiotaomicron BFG-498	#66611	Predicted PUL 36	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 unk GH31_4 HTCS GH97 GH43_34 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 unk HTCS unk unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			31	18	1	3, 10, 11, 14, 17, 19, 21, 22, 23, 26	10	0, 1, 2, 4, 6, 7, 8, 9, 12, 13, 15, 16, 18, 27, 28, 30	16
Bacteroides thetaiotaomicron BFG-505 	#62761	Predicted PUL 52	unk SusC unk SusD unk unk unk GH154 unk Sulf_1 GH88 GH43_26 GH43_26|GH106			13	7	1	0, 2, 4, 5, 6, 8	6	7, 10, 11, 12	4
Bacteroides thetaiotaomicron BFG-510	#66669	Predicted PUL 9	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 unk GH43_34|CBM32 GH43_34 GH97 HTCS GH31_4 GH43|GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			35	11	1	4, 7, 8, 9, 12, 15, 16, 19, 20, 21, 25	11	0, 2, 3, 11, 13, 14, 22, 23, 24, 26, 27, 28, 30, 31, 32, 33, 34	17
Bacteroides thetaiotaomicron BFG-510	#66689	Predicted PUL 29	GH130_1 unk GH30_6 SusD SusC unk GH154			7	6	1	1, 5	2	0, 2, 6	3
Bacteroides thetaiotaomicron BFG-55	#55910	Predicted PUL 13	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS			13	5	1	4, 6, 7	3	0, 1, 2, 5, 10, 11	6
Bacteroides thetaiotaomicron BFG-55	#55914	Predicted PUL 17	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides thetaiotaomicron BFG-55	#55933	Predicted PUL 36	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk GH31_4 HTCS GH97 GH43_34|CBM32 GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			32	22	1	4, 12, 13, 14, 17, 18, 21, 24, 27	9	0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 19, 20, 22, 28, 29, 31	16
Bacteroides thetaiotaomicron BFG-576	#67406	Predicted PUL 15	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS			13	5	1	4, 6, 7	3	0, 1, 2, 5, 10, 11	6
Bacteroides thetaiotaomicron BFG-576	#67410	Predicted PUL 19	GH154 unk SusC SusD GH30_6 unk			6	0	1	1, 5	2	0, 4	2
Bacteroides thetaiotaomicron BFG-576	#67430	Predicted PUL 39	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 unk GH97 GH43_34|CBM32 unk unk CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			33	23	1	5, 8, 9, 13, 14, 15, 18, 19, 22, 24, 25, 28	12	0, 1, 2, 3, 4, 6, 7, 11, 12, 20, 21, 23, 29, 30, 32	15
Bacteroides thetaiotaomicron CL06T03C18	#51136	Predicted PUL 5	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			27	17	1	9, 10, 13, 16, 19, 22	6	0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 14, 15, 17, 23, 24, 26	16
Bacteroides thetaiotaomicron CL06T03C18	#51193	Predicted PUL 62	GH154 unk unk SusC SusD GH30_6 unk GH130_1			8	0	1	1, 2, 6	3	0, 5, 7	3
Bacteroides thetaiotaomicron CL11T00C24	#51269	Predicted PUL 52	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 HTCS unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			28	17	1	9, 10, 13, 16, 19, 20, 23	7	0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 14, 15, 17, 24, 25, 27	16
Bacteroides thetaiotaomicron CL15T119C52	#55175	Predicted PUL 33	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk HTCS unk GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 unk unk GH29 GH43_34|CBM32 GH97 HTCS GH31_4 GH43|GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			29	11	1	4, 7, 8, 10, 12, 15, 18, 19	8	0, 2, 3, 11, 13, 14, 16, 17, 20, 21, 22, 24, 25, 26, 27, 28	16
Bacteroides thetaiotaomicron CL15T119C52	#55195	Predicted PUL 53	GH130_1 unk GH30_6 SusD SusC unk unk GH154 unk unk unk GH43_18 SusD SusC Anti-σ ECF-σ			16	7	1	1, 5, 6, 8, 9, 10	6	0, 2, 7, 11	4
Bacteroides thetaiotaomicron CL15T12C11	#55085	Predicted PUL 33	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk HTCS unk GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 unk unk GH29 GH43_34|CBM32 GH97 HTCS GH31_4 GH43|GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			29	11	1	4, 7, 8, 10, 12, 15, 18, 19	8	0, 2, 3, 11, 13, 14, 16, 17, 20, 21, 22, 24, 25, 26, 27, 28	16
Bacteroides thetaiotaomicron CL15T12C11	#55104	Predicted PUL 52	GH130_1 unk GH30_6 SusD SusC unk unk GH154 unk unk unk GH43_18 SusD SusC Anti-σ ECF-σ			16	7	1	1, 5, 6, 8, 9, 10	6	0, 2, 7, 11	4
Bacteroides thetaiotaomicron DFI.6.40	#78658	Predicted PUL 9	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk HTCS GH154 unk GH43_34 GH127 unk GH97 GH43_10|CBM91 unk unk GH29 GH43_34|CBM32 GH97 HTCS GH31_4 GH43|GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			28	10	1	4, 7, 8, 11, 14, 17, 18	7	0, 2, 3, 10, 12, 13, 15, 16, 19, 20, 21, 23, 24, 25, 26, 27	16
Bacteroides thetaiotaomicron DFI.6.40	#78678	Predicted PUL 29	GH130_1 unk GH30_6 SusD SusC unk unk GH154 unk unk unk GH43_18 SusD SusC Anti-σ ECF-σ			16	7	1	1, 5, 6, 8, 9, 10	6	0, 2, 7, 11	4
Bacteroides thetaiotaomicron DSM 2079	#46142	Predicted PUL 15	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS			13	5	1	4, 6, 7	3	0, 1, 2, 5, 10, 11	6
Bacteroides thetaiotaomicron DSM 2079	#46146	Predicted PUL 19	GH154 unk unk SusC SusD GH30_6 unk GH130_1			8	0	1	1, 2, 6	3	0, 5, 7	3
Bacteroides thetaiotaomicron DSM 2079	#46166	Predicted PUL 39	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 unk GH31_4 HTCS GH97 GH43_34|CBM32 GH43_10|CBM91 GH97 GH29 unk unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 unk GH43_24 PL42 GH105			34	23	1	4, 12, 13, 14, 15, 18, 19, 22, 25, 28, 30	11	0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 20, 21, 23, 29, 31, 33	16
Bacteroides thetaiotaomicron F9-2	#43655	Predicted PUL 6	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH43|GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 unk GH154 unk HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			28	17	1	9, 10, 13, 16, 18, 20, 23	7	0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 14, 15, 17, 24, 25, 27	16
Bacteroides thetaiotaomicron FDAARGOS_935	#47512	Predicted PUL 16	GH130_1 unk GH30_6 SusD SusC unk GH154			7	6	1	1, 5	2	0, 2, 6	3
Bacteroides thetaiotaomicron FDAARGOS_935	#47515	Predicted PUL 19	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146			13	7	1	5, 6, 8	3	1, 2, 7, 10, 11, 12	6
Bacteroides thetaiotaomicron FDAARGOS_935	#47573	Predicted PUL 77	GH105 PL42 GH43_24 GH16_3|GH43_24 unk unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			32	10	1	4, 5, 8, 11, 14, 15, 18, 19, 20	9	0, 2, 3, 10, 12, 13, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31	16
Bacteroides thetaiotaomicron H-2209	#76764	Predicted PUL 42	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides thetaiotaomicron H-2209	#76784	Predicted PUL 62	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH29 unk unk GH43_10|CBM91 GH97 unk GH127 GH43_34 GH43_12|CBM91 GH43_29|CBM6 GH43_19 GH154 unk HTCS unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			31	19	1	9, 10, 13, 20, 22, 23, 26	7	0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 14, 15, 16, 17, 18, 19, 27, 28, 30	19
Bacteroides thetaiotaomicron H-2622	#76873	Predicted PUL 30	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides thetaiotaomicron H-2622	#76890	Predicted PUL 47	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk CBM91 GH97 unk SusC SusD unk unk unk GH43_34 unk GH154 HTCS unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			30	19	1	8, 11, 14, 15, 16, 18, 21, 22, 25	9	0, 1, 2, 3, 4, 6, 7, 10, 17, 19, 26, 27, 29	13
Bacteroides thetaiotaomicron KPPR-3	#4840	Predicted PUL 49	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk HTCS GH154 unk GH43_34 GH127 GH127 unk unk SusD SusC SusC unk unk unk GH29 GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			34	10	1	4, 7, 8, 11, 15, 16, 20, 21, 22	9	0, 2, 3, 10, 12, 13, 14, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33	17
Bacteroides thetaiotaomicron KPPR-3	#4848	Predicted PUL 57	GH130_1 unk GH30_6 SusD SusC unk GH154			7	6	1	1, 5	2	0, 2, 6	3
Bacteroides thetaiotaomicron NLAE-zl-C523	#4993	Predicted PUL 14	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146			13	7	1	5, 6, 8	3	1, 2, 7, 10, 11, 12	6
Bacteroides thetaiotaomicron NLAE-zl-C523	#5011	Predicted PUL 32	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides thetaiotaomicron NLAE-zl-C523	#5023	Predicted PUL 44	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			33	23	1	8, 9, 13, 14, 15, 18, 19, 22, 25, 28	10	0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 20, 21, 23, 29, 30, 32	16
Bacteroides thetaiotaomicron NLAE-zl-C579	#5084	Predicted PUL 12	GH130_1 unk GH30_6 SusD SusC unk GH154			7	6	1	1, 5	2	0, 2, 6	3
Bacteroides thetaiotaomicron NLAE-zl-C579	#5088	Predicted PUL 16	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146			13	7	1	5, 6, 8	3	1, 2, 7, 10, 11, 12	6
Bacteroides thetaiotaomicron NLAE-zl-C579	#5109	Predicted PUL 37	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			33	23	1	8, 9, 13, 14, 15, 18, 19, 22, 25, 28	10	0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 20, 21, 23, 29, 30, 32	16
Bacteroides thetaiotaomicron NLAE-zl-G288	#4899	Predicted PUL 19	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS			13	5	1	4, 6, 7	3	0, 1, 2, 5, 10, 11	6
Bacteroides thetaiotaomicron NLAE-zl-G288	#4903	Predicted PUL 23	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides thetaiotaomicron NLAE-zl-G288	#4911	Predicted PUL 31	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			33	23	1	8, 9, 13, 14, 15, 18, 19, 22, 25, 28	10	0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 20, 21, 23, 29, 30, 32	16
Bacteroides thetaiotaomicron NLAE-zl-H207	#13071	Predicted PUL 58	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH43|GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusC SusD unk unk GH127 GH127 GH43_34 unk GH154 HTCS unk unk unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			36	23	1	11, 12, 13, 17, 18, 22, 25, 26, 27, 28, 31	11	0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 19, 20, 21, 23, 32, 33, 35	17
Bacteroides thetaiotaomicron NLAE-zl-H207	#13091	Predicted PUL 78	GH130_1 unk GH30_6 SusD SusC unk GH154			7	6	1	1, 5	2	0, 2, 6	3
Bacteroides thetaiotaomicron NLAE-zl-H207	#13094	Predicted PUL 81	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146			13	7	1	5, 6, 8	3	1, 2, 7, 10, 11, 12	6
Bacteroides thetaiotaomicron NLAE-zl-H463	#14198	Predicted PUL 1	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			33	23	1	8, 9, 13, 14, 15, 18, 19, 22, 25, 28	10	0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 20, 21, 23, 29, 30, 32	16
Bacteroides thetaiotaomicron NLAE-zl-H463	#14215	Predicted PUL 18	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides thetaiotaomicron NLAE-zl-H463	#14216	Predicted PUL 19	AraC GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS			14	6	1	5, 7, 8	3	1, 2, 3, 6, 11, 12	6
Bacteroides thetaiotaomicron NLAE-zl-H492	#13272	Predicted PUL 3	GH130_1 unk GH30_6 SusD SusC unk GH154			7	6	1	1, 5	2	0, 2, 6	3
Bacteroides thetaiotaomicron NLAE-zl-H492	#13305	Predicted PUL 36	HTCS GH2 GH105 SusC SusD unk unk GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146 AraC			14	7	1	5, 6, 8	3	1, 2, 7, 10, 11, 12	6
Bacteroides thetaiotaomicron NLAE-zl-H492	#13332	Predicted PUL 63	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			33	23	1	8, 9, 13, 14, 15, 18, 19, 22, 25, 28	10	0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 20, 21, 23, 29, 30, 32	16
Bacteroides thetaiotaomicron NLAE-zl-P32	#13910	Predicted PUL 8	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk unk unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 unk unk GH43_34|CBM32 GH97 HTCS GH31_4 GH43|GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			36	12	1	4, 7, 8, 9, 10, 13, 16, 17, 20, 21, 22, 26, 27	13	0, 2, 3, 12, 14, 15, 23, 24, 25, 28, 29, 31, 32, 33, 34, 35	16
Bacteroides thetaiotaomicron NLAE-zl-P32	#13954	Predicted PUL 52	GH130_1 unk GH30_6 SusD SusC unk GH154			7	6	1	1, 5	2	0, 2, 6	3
Bacteroides thetaiotaomicron NLAE-zl-P699	#13997	Predicted PUL 9	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides thetaiotaomicron NLAE-zl-P699	#14026	Predicted PUL 38	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH43|GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk unk unk unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			36	23	1	8, 9, 13, 14, 15, 18, 19, 22, 25, 26, 27, 28, 31	13	0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 20, 21, 23, 32, 33, 35	16
Bacteroides thetaiotaomicron TSDC17.2	#27552	Predicted PUL 9	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 unk unk GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			33	9	1	4, 7, 10, 13, 14, 17, 18, 19, 23, 24	10	0, 2, 3, 9, 11, 12, 20, 21, 22, 25, 26, 28, 29, 30, 31, 32	16
Bacteroides thetaiotaomicron TSDC17.2	#27590	Predicted PUL 47	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides thetaiotaomicron TSDC17.2	#27627	Predicted PUL 84	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS			13	5	1	4, 6, 7	3	0, 1, 2, 5, 10, 11	6
Bacteroides thetaiotaomicron VIII-271G	#21803	Predicted PUL 4	GH130_1 unk GH30_6 SusD SusC unk unk GH154 unk unk unk GH43_18 SusD SusC Anti-σ ECF-σ			16	7	1	1, 5, 6, 8, 9, 10	6	0, 2, 7, 11	4
Bacteroides thetaiotaomicron VIII-271G	#21814	Predicted PUL 15	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk unk unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 unk unk GH43_34|CBM32 GH97 HTCS GH31_4 GH51_2 GH43_9|CBM91|GH43_19 GH43_19 GH35|CBM32			36	12	1	4, 7, 8, 9, 10, 13, 16, 17, 20, 21, 22, 26, 27	13	0, 2, 3, 12, 14, 15, 23, 24, 25, 28, 29, 31, 32, 33, 34, 35	16
Bacteroides thetaiotaomicron VPI-2808B	#71904	Predicted PUL 57	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS			13	5	1	4, 6, 7	3	0, 1, 2, 5, 10, 11	6
Bacteroides thetaiotaomicron VPI-2808B	#71908	Predicted PUL 61	GH154 unk SusC SusD GH30_6 unk GH130_1			7	0	1	1, 5	2	0, 4, 6	3
Bacteroides thetaiotaomicron VPI-2808B	#71920	Predicted PUL 73	GH35|CBM32 GH43_19 GH43_9|CBM91|GH43_19 GH51_2 GH31_4 HTCS GH97 GH43_34|CBM32 unk GH43_10|CBM91 GH97 GH29 unk unk unk SusC SusD unk unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105			32	22	1	8, 12, 13, 14, 17, 18, 21, 24, 27	9	0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 19, 20, 22, 28, 29, 31	16
Bacteroides thetaiotaomicron VPI-3164	#71775	Predicted PUL 27	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk unk HTCS GH154 unk GH43_34 GH127 unk unk SusD SusC unk unk unk GH29 GH97 GH43_10|CBM91 GH43_34|CBM32 GH97 HTCS GH31_4			28	10	1	4, 7, 8, 11, 14, 15, 18, 19, 20	9	0, 2, 3, 10, 12, 13, 21, 22, 23, 24, 25, 27	12
Bacteroides thetaiotaomicron VPI-3164	#71807	Predicted PUL 59	GH130_1 unk GH30_6 SusD SusC unk GH154			7	6	1	1, 5	2	0, 2, 6	3
